feature,importance
sec_Telecom,0.0006451952258327688
sec_REIT,0.0006728845493374453
sec_Retail,0.0007914643151006741
extreme_precip,0.0012518123453518833
extreme_heat,0.0012681185130169492
sec_Utilities,0.0014376717591239368
extreme_cold,0.0017752277382952055
extreme_wind,0.0025599843223008192
sec_Energy,0.0037099154972283716
sec_Insurance,0.0038549337361125174
dow,0.031193982432833493
month,0.04253456025258069
total_precip,0.0816040733686197
max_gust,0.0821638443642452
mean_temp,0.08329295759001523
lagged_return,0.0880365457950175
lag2_return,0.09004058179256193
temp_5d_anom,0.09875806636534867
roll5_vol,0.10000409694187112
roll5_return,0.10193916349492461
mkt_return,0.18246491960028144
