feature,importance
extreme_heat,0.0054202173
sec_Retail,0.011708327
sec_Utilities,0.012250915
sec_REIT,0.015072892
sec_Energy,0.018198686
sec_Insurance,0.018253954
sec_Telecom,0.020331748
lagged_return,0.035184495
extreme_precip,0.040121086
mean_temp,0.043535292
lag2_return,0.044885077
roll5_vol,0.04525826
roll5_return,0.047629233
month,0.06376234
extreme_cold,0.06454669
max_gust,0.070355065
total_precip,0.07362107
dow,0.076246284
mkt_return,0.08506246
extreme_wind,0.102133006
temp_5d_anom,0.10642286
