ticker,Sector,Mean Daily Ret (%),Ann. Volatility (%),N
BCE.TO,Telecom,0.018,20.92,4261
BMO.TO,Bank,0.04,23.24,4261
BNS.TO,Bank,0.03,22.4,4261
CM.TO,Bank,0.043,23.57,4261
EMA.TO,Utilities,0.04,17.59,4261
ENB.TO,Energy,0.045,22.59,4261
FTS.TO,Utilities,0.032,18.65,4261
IFC.TO,Insurance,0.054,21.59,4261
L.TO,Retail,0.052,19.83,4261
MFC.TO,Insurance,0.019,33.32,4261
POW.TO,Insurance,0.024,26.13,4261
REI-UN.TO,REIT,0.021,22.78,4261
RY.TO,Bank,0.046,21.89,4261
SU.TO,Energy,0.009,38.48,4261
TD.TO,Bank,0.035,22.07,4261
