ticker,Sector,Normal (%),Extreme (%),Diff (bp)
BCE.TO,Telecom,0.0138,0.033,1.92
BMO.TO,Bank,0.0328,0.0679,3.51
BNS.TO,Bank,0.0288,0.0346,0.58
CM.TO,Bank,0.0361,0.0719,3.58
EMA.TO,Utilities,0.035,0.063,2.8
ENB.TO,Energy,0.0491,0.0274,-2.17
FTS.TO,Utilities,0.0216,0.0788,5.72
IFC.TO,Insurance,0.0461,0.0893,4.32
L.TO,Retail,0.0655,-0.006,-7.15
MFC.TO,Insurance,0.0097,0.0593,4.96
POW.TO,Insurance,0.0177,0.0492,3.15
REI-UN.TO,REIT,0.0155,0.0472,3.17
RY.TO,Bank,0.0365,0.0842,4.77
SU.TO,Energy,0.0082,0.0161,0.79
TD.TO,Bank,0.0328,0.0461,1.33
